,Unnamed: 0,names,tag_lines,personality,sex,breed,rescue_grp,location,coat,date,fee,age_in_months,preference
10,10,Bobby and Shelly,Double the Love,"** Please ensure you read this profile in full before enquiring. **
Bobby & Shelly, a double bundle of cuteness and curiosity. 
Bobby is a happy cat that loves a pat, bum scratch and playing with his favourite toys. Hell often make his way onto your bed in the mornings looking for a chin scratch. Bobby is a confident cat but will need some time to adjust to his new surroundings and doesnt like forced interactions. When hes ready for attention hell let you know. 
Shelly is a young cat that is still learning to come out of her shell but loves to play with Bobby and explore her surroundings. She is very energetic and will spend hours chasing her favourite toys (and sometimes Bobby!).  Shelly is still very wary and learning to trust humans. She is very timid and doesnt enjoy pats just yet, but her friend Bobby is showing her the ropes and bringing her slowly out of her shell. Shelly has suspected case of severe asthma and as such can be heard coughing from time to time.  She is currently using a slow feeder so that she doesnt inhale her food or steal Bobbys before hes had a chance to eat!
These cats love their food, and youll often hear them chirping to each other and playing after they nap the day away!  They love exploring and finding their hiding spots but will happily come out to play when theyre ready.
Bobby and Shelly will need a lot of patience as they are wary of new surroundings and people at first. Both can play a little rough so would be best suited to a house with no small children, a home that can respect their boundaries, and provide them with an indoor lifestyle. Currently they would prefer to be the only pets in the home.
Bobby and Shelly are located in Bentleigh.
(NOTE: Adoption fee is for both Bobby and Shelly)",Male,Domestic Medium Hair Cat,Forever Friends Animal Rescue,"Bentleigh, VIC",Medium,"14 Jan, 2022",306.00,14.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
11,11,Mimi,Curious and friendly,"Hi, I am Mimi! I am a 3y.o. stunner who is looking for her forever home - is it with you?
I am a fluffy gal, quite acrobatic at times (with mixed results) and I LOVE being around my fave people.
Whatever you are up to, I am keen to be involved! I enjoy snuggling up on your lap (or laptop/keyboard), watching tv, and sleeping. When I'm relaxing, I usually like to stay in the same room as my human, just to y'know, keep one eye on you, and keep the other eye staring at the world outside the window.
I enjoy my food and treats...maybe a touch too much. Okay I admit, I could lose a few grams (well that's what the vet said anyway) and I might need your help with this. I am great around new people and visitors but I haven't had much time around kids, although older kids would probably be acceptable (only if they provide lots of gentle pats).
I can be quite playful and love a good piece of string to attack, a box to jump in and balls to chase. After I am worn out, a solid snooze in the sun is ideal.
Ideally I am the only pet in the house because let's face it, I need to be the sole recipient of everyones love and attention. My ideal home would be with someone who is home most of the time (but not essential), given how social I am. I really do love my people! 
Preferably you have a secure outside area, but this is not a requirement. I am very curious about the outdoors but my foster carer has not been successful with getting me into a harness for safe exploring.
I am a healthy and happy girl looking for my FURever home, could this be with you?
Please note: Mimi has recently been desexed and has also had some teeth extracted. She has recovered well!",Female,Domestic Short Hair Cat,Forever Friends Animal Rescue,"Thornbury, VIC",Short,"14 Jan, 2022",175.00,37.0,Doesn't have cats| Doesn't have dogs
12,12,Prem,'Beautiful',"Prem is a beautiful and quiet cat. She loves a good daily brushing on her long coat and will also turn upside down for more!
Prem would be great as a companion cat for a gentle and patient parent.",Female,Domestic Long Hair Cat,Forever Friends Animal Rescue,"Mount Waverley, VIC",Long,"14 Jan, 2022",75.00,135.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
13,13,Sandy & Rita  (can be transported to Melb),Sweet girls who need love,"Note: Adoption fee is for the pair 
Sandy & Rita are sweet girls who would love a chance to have a special home of their own. 
They came to us from a property where they were being hand-fed by the workers. 
We believe Rita is Sandy's mama.  
As they had only had minimal human interaction they have adapted really well to positive interaction with humans. 
They are still a bit shy but will accept pats and rub around your legs, are very inquisitive and can be picked up. 
They are very food orientated and will eat anything you put down for them. 
They may hide when they go to a new home but that is normal for any cat that changes to a new environment with new sounds, smells and new people. 
Rita has been the more confident of the two since they have been in care 
They have not been around dogs or children. They have been ok with other cats that were part of their colony but we can't say how they would interact with ones they don't know. 
A quiet, patient household would be the best for these girls so they can settle into their new life at their own pace.  They might never be cats to sit on your lap but that doesn't mean 
that they wont show you love. 
Both these beautiful girls need a patient home who understands where they have come from and how far they have come along. 
They need an owner who will give them all the time they need to properly settle into their new home. 
Rita is the darker grey tabby 
 : Age approx 4
Chip Number: 978101083667303
Sandy - Age : Approx: approx 16 months
Chip number:  978101083681724
Sandy & Rita are strictly indoor only 
Transport to Melbourne is available if needed",Female,Domestic Short Hair Cat,Robyn's Nest Animal Rescue,"Talbot, VIC",Short,"14 Jan, 2022",225.00,16.0,Doesn't have dogs| Doesn't have kids under 5
14,14,Louis,I adore people,"Louis is a handsome fella who has a beautiful personality. 
His favourite thing is to be around people, especially those who spoil him!
He is not fussy with his food, and, even though he is just over 5 years old he still loves to play. 
He has been around a dog that is used to cats and has been around other cats.  
He has briefly been around children who were respectful of his space. 
Louis is a strictly indoor cat only especially due to his light coloured features. 
He is currently looking for his home at our adoption partner store Going Troppo Fish & Pets in Wendouree (Ballarat).  
Note: His full adoption fee comes to us to help more kitties in need like Louis",Male,Domestic Short Hair Cat,Robyn's Nest Animal Rescue,"Wendouree, VIC",Short,"14 Jan, 2022",150.00,61.0,Doesn't have dogs
15,15,Stanley,Looking for love,"Hi there, my name is Stanley and I am looking for a very specific home! I haven't had the easiest time here in the shelter so I need a loving and patient family that will help me adjust back into a home environment. I can be a little conflicted with my interactions sometimes, but I will quickly warm up to you if you give me treats and gentle pats! I would really thrive in the right environment if there is plenty of routine and positive reinforcement.
I've got a couple of things in my medical history that my RSPCA friends would be more than happy to discuss.
If you feel there's a spot in your home for me, please submit an application!
Indemnities:
Heart Murmur - Cat (Medical)
Ringworm Contact (Medical)",Male,Domestic Short Hair Mix Cat,RSPCA Burwood East Victoria,"Burwood East, VIC",Short,"14 Jan, 2022",22.00,14.0,
16,16,Friday rsua009461,Looking for love,"Friday is a delightful girl who is easy going and affectionate and loves cuddles and of course playtime. She would be fine with respectful older children as she does startle easily.
She has no tolerance with other felines so must be your one and only.
ADOPTION BY APPOINTMENT ONLY
To make an appointment please complete an online application via the attached link https://www.catprotection.com.au/adoption-online-application-2/",Female,Domestic Short Hair Cat,The Cat Protection Society of Victoria,"Greensborough, VIC",Short,"14 Jan, 2022",115.00,11.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
17,17,Texas STA008721,Looking for love,"Texas came to us from a colony of cats. He was not use to humans, and certainly did not trust us. Shelter life was not for him, so we put him in foster. With long term foster he is learning to trust, and Texas is now enjoying playing with his foster mum. Texas is still gaining his trust of humans, but we feel its his time to go that final step with his forever home.
He is quite playful, and catch and stealing the toys is definitely high on his agenda. Food is a big winner, and will sit for treats from your hand, but sometimes your fingers might get in the road.
He is not an aggressive cat, but learning to play with a human rather than a cat, is something he is still learning. He is still not overly fond of being picked up, but if he does want a cuddle, he will smooch your legs, and a quick big purring cuddle is what you will get.
Texas will do well in a quite home, with a confident feline friend, and has lived comfortably with a dog. If you are happy to have a companion, who will keep you entertained, but will take time to adjust, Texas is a beautiful boy. He is definitely worth the time and effort.
ADOPTION BY APPOINTMENT ONLY
To make an appointment please complete an online application via the attached link https://www.catprotection.com.au/adoption-online-application-2/",Male,Domestic Short Hair Cat,The Cat Protection Society of Victoria,"Greensborough, VIC",Short,"14 Jan, 2022",115.00,13.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids from 6 to 12
18,18,Miffy,Enjoys a Chat!,"Miffy is a very sweet older lady who is looking for a companion to spend the rest of her days with.
She likes to have a little chat with her (very cute) squeaky meow and would love someone to spend some quality time with, getting lots of pats.
Miffy has a heart murmur that may be due to some shelter stress or a heart condition, that will have to be monitored once she is in a home.
If you would like to meet the very sweet Miffy, please give us a call on 9722 1265",Female,Domestic Short Hair Cat,Blue Cross Animals Society,"Wonga Park, VIC",Short,"14 Jan, 2022",50.00,180.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
19,19,Helga,Enjoys Treats!,"Beautiful Helga is unfortunately suffering from severe shelter stress and needs to find a quiet home as quickly as possible.
Helga would benefit from a quiet home with no other animals and no young children.
Given the time and patience to settle in, we believe Helga will be much happier in a home environment, and will enjoy spending time with her owner.
If you have the patience and space in your life for a cat in need of a home, please give us a call on 9722 1265 and make an appointment to meet Helga.",Female,Domestic Short Hair Cat,Blue Cross Animals Society,"Wonga Park, VIC",Short,"14 Jan, 2022",150.00,20.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
20,20,Atara,Wonderful Companion!,"Atara has done a lot of travelling in her 10 years, having been to many parts of Australia. She has been well-loved, but due to a change in circumstances, Atara thinks its time to settle down and is on the lookout for a childfree home.
Atara is very affectionate and enjoys getting lots of attention from her humans. She is great company to have, but prefers the company of a more mature age for herself, as children under the age of 16 are a bit too fast-paced for her lifestyle.
No other animals in the household for this girl please.
If you would like to meet Atara, please give us a call on 9722 1265 to make an appointment.",Female,Domestic Short Hair Cat,Blue Cross Animals Society,"Wonga Park, VIC",Short,"14 Jan, 2022",50.00,123.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
21,21,Spencer,Foodie!,"Spencer is a bit of a foodie so getting to know him is easy with treats.  Spencer was a little unsure of the shelter environment at first but now likes to come out and say hello to whoever is visiting and he likes to 'help' the staff when cleaning his room.
Spencer will need a little bit of patience and TLC to help him settle into a new home but once he does you will find that he enjoys being patted and picked up.  We are pretty sure Spencer will be great company to have around.
Spencer would be best suited as the only cat in the household and he would prefer a mature household as he can be a bit nippy when he has had enough playing.
If you would like to meet the lovely Spencer, please give us a call on 9722 1265 to make an appointment.",Male,Domestic Short Hair Cat,Blue Cross Animals Society,"Wonga Park, VIC",Short,"14 Jan, 2022",150.00,51.0,Doesn't have cats| Doesn't have kids under 5| Doesn't have kids from 6 to 12
22,22,Lor,Chatty Man!,"Lor has certainly come out of his shell and is finding his voice now that he has settled in to the shelter!
He is mostly using his newfound voice to let us know when its time for dinner (which apparently is many times a day), but also likes to have a chat while we clean his pen.
Lor loves to have a smooch around your ankles, and getting lots of cheek rubs, but will let you know once hes had enough so is more suited to a mature household.
As an FIV positive boy, Lor will need to be kept as an indoor only cat, or have access to a secure outdoor cat run where he can get some fresh air and soak up the sunshine.
If youre after a smoochy cat with a smidge of attitude, give us a call on 9722 1265 to make an appointment to meet Lor.",Male,Domestic Short Hair Cat,Blue Cross Animals Society,"Wonga Park, VIC",Short,"14 Jan, 2022",50.00,66.0,Doesn't have cats| Doesn't have kids under 5| Doesn't have kids from 6 to 12
23,23,Yellow Boy,Affectionate,"Hi I'm Yellow Boy.  I was located with my siblings in a work shed, abandoned by our mom.
Lucky for us we were rescued and taken very good care of.  We have been in Foster Care since then and have been raised by a loving family with older children. I am now old enough to find a home of my own, where I can have a name and be very much loved.
Should I be the purrfect fit for you please contact Kate my Foster Mum. 0437309225
I am desexed, vaccinated, microchipped, wormed and flea treated.",Male,Domestic Short Hair Cat,Paws 2 Luv,"Diamond Creek, VIC",Medium,"14 Jan, 2022",250.00,2.5300000000000002,
24,24,Mumma Bear **2nd Chance Cat Rescue,Sweet semi longhaired mum,"Mama Bear has been such a good Mum to her three little kittens. Shes ready to be taken care of herself. Such a sweet, affectionate girl, she will follow you around to see what you are doing or sit next to you on the couch. She loves pats and scratches under the chin. She has a lovely, caring nature.
Our Foster carer has  2  Primary school children and Mumma Bear loves them.
One of her babies, Stripy Bear which is a  little tabby is still available.
Check out our Facebook page and LIKE! https://www.facebook.com/2ndchancecatrescuevictoria
Click on the Link https://www.2ndchancecatrescue.com.au/adopting/adoption-form/
To fill in an adoption form from 2nd Chance Cat Rescue.
All 2nd Chance Cat Rescue cats are Desexed,Microchipped, Vaccinated, flea and worm treated and come with a take home pack and we transfer the change of Ownership free of charge into your name.",Female,Domestic Medium Hair Cat,2nd Chance Cat Rescue,"Berwick, VIC",Medium,"14 Jan, 2022",200.00,12.0,
25,25,Tiger,Looking for love,"Hello there, my name is Tiger and I can be a little shy to start with, but I'll soon warm up to you. I'm a very sweet old man who just wants a spot near the window to laze about in the sunshine. With those I'm comfortable with, I'm quick to purr and happy to have a gentle smooch!
I would love to live in a calm and quiet environment, as that would help keep me feeling safe and secure. I'd be best suited to a household with adults, as younger kids would be too overwhelming.
I've got a couple of things in my medical history that my RSPCA friends would be more than happy to chat with you about.
If you feel there's a sunny spot in your home for a cat like me, please submit an application!",Male,Domestic Longhair Cat,RSPCA Burwood East Victoria,"Burwood East, VIC",Short,"14 Jan, 2022",0.00,131.0,
26,26,Raya,Sweetheart,"Raya has been through a lot considering she is only 10 months old. Shes already been a young mum - but that wont happen again! 
She is still a kitten & loves playing, chasing balls & finding the coolest spot on the couch on a hot day. 
Shes been around other cats and tolerates them but would do well in a home as the only cat - even if only for a while. 
Shes sassy & stubborn but also affectionate & smoochy. 
Shes been around children & as long as they leave her alone once shes had enough of playtime they will get along great together.",Female,Domestic Short Hair Cat,Hannahs Haven,"Mordialloc, VIC",Short,"14 Jan, 2022",400.00,10.0,
27,27,Tom SUA009234,Looking for love,"Tom is our Bachelor of the Year Tom has everything going for him and has had so much going against him, but he is not about to let anything slow him down or hinder his zest for life. Tom is a country boy and as everyone knows country boys are tough and dont cry, they just pull themselves together and get on with it, and thats exactly what he has done.
We dont know anything about Toms life before he came to us but he is a battler, he arrived requiring major dental work, some lumps, bumps and abrasions on his body and an injury to his front right leg that was causing him chronic pain. His dental work required two operations and then a third to amputate the leg.
At 10 years old he has been through a lot but he has done it with grace and dignity, and is now ready to find his very own indoor only home. Toms needs are far from outrageous, a warm bed, humans to love and a bottomless food bowl.
ADOPTION BY APPOINTMENT ONLY
To make an appointment please complete an online application via the attached link https://www.catprotection.com.au/adoption-online-application-2/",Male,Domestic Short Hair Cat,The Cat Protection Society of Victoria,"Greensborough, VIC",Short,"14 Jan, 2022",60.00,120.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
28,28,Maleficent,Absolutely stunning,"Maleficent is such a beautiful girl! She loves affection, loves cuddles & loves being the centre of attention. 
Shes great with children & other cats; she likes to mother everyone. 
Shes a little shy at first, but once shes comfortable with her new environment she will soon be your mew snuggle buddy. 
She is black & chocolate - stunning colourings!",Female,Domestic Medium Hair Cat,Hannahs Haven,"Mordialloc, VIC",Medium,"14 Jan, 2022",350.00,12.0,
29,29,Arabella,Loves a chat!,"Arabella is ready for her forever home. She was saved from a rural pound last year & is need of some much deserved TLC. 
She tolerates other cats but would love to be the star of her own show! Shes chatty & a bit of a stalker, but in a good way. 
Arabella is still only young &  has a lot of life left in her & just as much love. 
She likes children - although shes not a fan of being held so little children might be too much for her. 
She loves to play & gets the zoomies when shes happy.",Female,Domestic Short Hair Cat,Hannahs Haven,"Mordialloc, VIC",Short,"14 Jan, 2022",400.00,11.0,Doesn't have kids under 5
30,30,Humphrey,Looking for love,"Hi there, Im Humphrey.
Im a man who loves the quiet life. Im seeking an adults-only home where I can relax in peace and spend my days hanging with my humans. Loud noises do tend to startle me and its not uncommon for me to hide under a blanket when Im feeling a little unsure. However, when I am comfortable I am the sweetest and most affectionate boy around.
A few medical bits  I am FIV (feline immunodeficiency virus) positive, meaning I should be the only animal in the home and remain indoors. Not to worry though, I can still live a perfectly normal and healthy life. Ive also been treated for some skin allergies during my time at Lort Smith. It is believed this was due to insect bites, so keeping on top of my flea treatments is a must. Currently I am not receiving any further treatment for this, however there is a chance I may need medication in the future if my allergies flare up again. I have a medical disclaimer for this and the staff can happily talk to you further.
Do you have the perfect home for me? Please submit an expression of interest form below.",Male,Domestic Long Hair Cat,Lort Smith Animal Hospital ,"Campbellfield, VIC",Long,"14 Jan, 2022",115.00,77.0,
31,31,Bolt,Looking for love,"Im a handsome young man who is currently on the look out for a loving forever home.
Im a cheeky lad who loves to play and get into mischief! Im seeking a secure indoor only home, perhaps with a cat enclosure so I can safely watch the world go by.
I can sometimes get a bit over enthusiastic with my play style, so a home without young children would be best for me. I would also prefer a home without other cats.
Climbing cat scratching towers and pouncing on toys are some of my favourite things to do. I love to be the centre of attention and be involved in all the daily family happenings!
If you can provide me with a loving forever home with lots of love and attention, please fill out an expression of interest form today!",Male,Domestic Medium Hair Cat,Lort Smith Animal Hospital ,"Campbellfield, VIC",Medium,"14 Jan, 2022",115.00,33.0,Doesn't have cats| Doesn't have dogs| Doesn't have kids under 5| Doesn't have kids from 6 to 12
